type,term_id,name,slug,parent,normalized_name
category,1735,Final Fantasy VII,final-fantasy-vii,trends,Final Fantasy VII
category,529,Final Fantasy XI,final-fantasy-xi,mmos,Final Fantasy XIII
category,1953,Final Fantasy XIII,final-fantasy-xiii,trends,Final Fantasy XIII
category,530,Final Fantasy XIV,final-fantasy-xiv,mmos,Final Fantasy XIII
category,1943,Final Fantasy XVI,final-fantasy-xvi,trends,Final Fantasy XIII
category,1725,First person shooter,first-person-shooter,trends,First Person Shooter
category,531,Fists of Fu,fists-of-fu,mmos,Final Fantasy
category,1526,Flamecraft,flamecraft,tabletop-games,Final Fantasy III
category,532,Florensia,florensia-mmos,mmos,Final Fantasy III
category,1770,Fortnite,fortnite,mmos,Final Fantasy III
category,533,Free Realms,free-realms,mmos,French Revolution
category,534,From Ello,from-ello,general,Featured Episodes
category,535,FTL,ftl,other-games,Final Fantasy III
category,1796,Gaming convention,gaming-convention,trends,Gaming Convention
category,536,Gatheryn,gatheryn,mmos,Godswar Online
category,537,Gauntlet,gauntlet,other-games,Godswar Online
category,1554,Gladius,gladius,other-games,Godswar Online
category,538,Glitch,glitch,mmos,Godswar Online
category,1514,Gloomhaven,gloomhaven,other-games,Godswar Online
category,539,Go,go,other-games,Godswar Online
category,540,Gods &amp; Heroes,gods-heroes,mmos,Gods &Amp; Heroes
category,541,GodsWar Online,godswar-online,mmos,Godswar Online
category,542,Godville,godville,other-games,Godswar Online
category,1838,Gotham Knights,gotham-knights,open-world-rpg,Gotham Knights
category,2106,Granblue Fantasy,granblue-fantasy,other-games,Granblue Fantasy
category,543,Gratuitous Space Battles,gratuitous-space-battles,other-games,Girls Screaming in British
category,1513,Greedfall,greedfall,other-games,Godswar Online
category,544,Grim Dawn,grim-dawn,other-games,Game Development
category,545,Guild Wars,guild-wars,mmos,Guild Wars 2
category,2034,Guild Wars 2,guild-wars-2,mmos,Guild Wars 2
category,546,Hearthstone,hearthstone,other-games,The Harrowing
category,547,Hello Kitty Online,hello-kitty,mmos,Hello Kitty Online
category,2044,HeroQuest,heroquest,tabletop-games,The Harrowing
category,548,Herotopia,herotopia,other-games,The Harrowing
category,549,HOARD,hoard,other-games,The Harrowing
category,550,Ingress,ingress,other-games,Intellivision
category,1727,Isometric tactical strategy,isometric-tactical-strategy,trends,Isometric Tactical Strategy
category,551,It's a Wipe!,its-a-wipe,other-games,It's a Wipe!
category,1517,Kaiju Wars,kaiju-wars,other-games,Kaiju Wars
category,552,Kerbal Space Program,kerbal-space-program,other-games,Kerbal Space Program
category,2212,Kesmai,kesmai,mmos,Kickstarter
category,553,Kingdoms of Amalur: Reckoning,kingdoms-of-alura-reckoning,other-games,Kingdoms of Amalur: Reckoning
category,554,Kung Foo!,kung-foo,mmos,Kung Foo!
category,555,LaTale,latale,mmos,Love in a Time of Corona
category,556,Legends of Zork,legends-of-zork,other-games,Legends of Zork
category,557,LEGO Universe,lego-universe,mmos,Lego Universe
category,558,LittleBig Planet,littlebig-planet,other-games,Love in a Time of Corona
category,559,LittleBigPlanet,littlebigplanet,other-games,Love in a Time of Corona
category,1522,Lord of the Chords,lord-of-the-chords,tabletop-games,Lord of the Chords
category,560,Lord of the Rings,lord-of-the-rings-online,mmos,The Lord of the Rings
category,1936,Lost Ark,lost-ark,mmos,The Last Airbender
category,561,Love,love,mmos,Love in a Time of Corona
category,562,Lucent Heart,lucent-heart,mmos,Lucent Heart
category,563,Mabinogi,mabinogi,mmos,Madame Scurry
category,1700,Magic,magic,trends,Madame Scurry
category,564,Magical Diary,magical-diary,other-games,Mystery Dungeon
category,2247,Malifaux,malifaux,tabletop-games,Madame Scurry
category,2158,Manor Lords,manor-lords,other-games,Mur Lafferty
category,1938,MapleStory,maplestory,mmos,Madame Scurry
category,1487,Massively multiplayer,massively-multiplayer,trends,Massively Multiplayer
category,565,Metaplace,metaplace,other-games,Madame Scurry
category,1712,Metroidvania games,metroidvania-games,trends,Magic the Gathering
category,566,Minecraft,minecraft,other-games,Madame Scurry
category,1502,My Little Scythe,my-little-scythe,tabletop-games,My Little Scythe
category,1521,Mystery Dice,mystery-dice,tabletop-games,Mystery Dungeon
category,1743,Mystery games,mystery-games,trends,Magic the Gathering
category,2190,Nemesis,nemesis,tabletop-games,New Xbox Experience
category,567,Neopets,neopets,other-games,New Xbox Experience
category,568,Neverwinter Nights,nwn,other-games,Neverwinter Nights
category,569,Nostalgia the Guild,nostalgia-the-guild,everquest,Nostalgia the Guild
category,570,Oblivion,oblivion,other-games,Observatory
category,1839,Photo Editing,photo-editing,trends,Pillars of Eternity
category,1690,Post-apocalyptic games,post-apocalyptic-games,trends,Post-apocalyptic Games
category,1740,Prehistoric games,prehistoric-games,trends,Prehistoric Games
category,1472,Programming language,programming-language,trends,Programming Language
category,1742,Psychological Thriller,psychological-thriller,trends,Psychological Thriller
category,1681,Puzzles,puzzles,trends,Planet of the Corvids
category,1528,Return to Dark Tower,return-to-dark-tower,tabletop-games,Return to Dark Tower
category,1678,RPG,rpg,trends,Return of the Light
category,1840,Screenshots,screenshots,trends,Straight Talk Warhammer
category,1501,Scythe,scythe,tabletop-games,Straight Talk Warhammer
category,1524,Set a Watch,set-a-watch,tabletop-games,Straight Talk Warhammer
category,571,Shards of Dalaya,shards-of-dalaya,everquest,Seeds of Destruction
category,1713,Side-scrolling games,side-scrolling-games,trends,Side-scrolling Games
category,1675,Sports,sports,trends,Straight Talk Warhammer
category,1519,Star Scrappers Orbital,star-scrappers-orbital,tabletop-games,Star Scrappers Orbital
category,1829,Star Trek,star-trek,trends,Shiritakai Temple
category,572,Straight Talk Warhammer,straight-talk-warhammer,war,Straight Talk Warhammer
category,1676,Strategy,strategy,trends,Straight Talk Warhammer
category,1726,Supernatural Horror,supernatural-horror,trends,Supernatural Horror
category,1469,System Software,system-software,trends,Sentinels of Stormreach
category,1492,Tabletop game,tabletop-game,trends,Tangleroot Gorge
category,1677,Tactics,tactics,trends,Test Driven Development
category,1757,Text Adventure game,text-adventure-game,trends,Text Adventure Game
category,1468,Topic,topic,trends,Test Driven Development
category,2125,Unicorn Overlord,unicorn-overlord,rpg,Unicorn Overlord
category,2028,Baldur's Gate 3,baldurs-gate-3,rpg,Baldur's Gate 3
category,2359,Frosthaven,frosthaven,gloomhaven,Final Fantasy III
tag,573,1,1,,11sheep
tag,1791,1-4 players,1-4-players,,Planet of the Corvids
tag,574,1.03,103,,1.03
tag,1671,11Sheep,11sheep,,11sheep
tag,575,2,2,,2d
tag,217,2020,2020,,2020
tag,1858,2022,2022,,2022
tag,1867,24,24,,24
tag,1603,2D,2d,,2d
tag,1691,2D platformer,2d-platformer,,2d Platformers
tag,1652,2Dark 2C,2dark-2c,,2dark 2c
tag,576,3,3,,3
tag,2224,3-2-1 strategy,3-2-1-strategy,,Straight Talk Warhammer
tag,248,38 studios,38-studios,,Straight Talk Warhammer
tag,3,3D Printing,3d-printing-old,,3d Printing
tag,1792,45 minutes,45-minutes,,Madame Scurry
tag,2364,4th edition,4th-edition,,4th Edition
tag,577,51,51,,51
tag,578,51/50,5150,,51/50
tag,263,5e,5e,,5e
tag,2057,663333,663333,,663333
tag,17,7 Billion Humans,7-billion-humans,,7 Billion Humans
tag,1665,80s and 90s,80s-and-90s,,80s and 90s
tag,579,a bad excuse,a-bad-excuse,,Berserker Epic
tag,580,a bit lucky,a-bit-lucky,,The Burning Lands
tag,2356,a dark room,a-dark-room,,Dungeon Runners
tag,1927,a realm reborn,a-realm-reborn,,The Ring of Return
tag,2235,a twist of fate,a-twist-of-fate,,Team Fortress 2
tag,1592,a*,a,,All Points Bulletin
tag,108,abashi,abashi,,All Points Bulletin
tag,581,acclaim,acclaim,,All Points Bulletin
tag,2441,ace of aces,ace-of-aces,,Appearance Armor
tag,582,achiever,achiever,,All Points Bulletin
